,내용,점수,날짜
999,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
1000,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
1001,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
1002,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
1003,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
1004,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
1005,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
1006,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
1007,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
1008,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
1009,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
1010,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
1011,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
1012,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
1013,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
1014,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
1015,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
1016,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
1017,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
1018,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
1019,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
1020,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
1021,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
1022,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
1023,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
1024,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
1025,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
1026,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
1027,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
1028,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
1029,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
1030,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
1031,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
1032,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
1033,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
1034,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
1035,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
1036,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
1037,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
1038,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
1039,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
1040,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
1041,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
1042,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
1043,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
1044,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
1045,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
1046,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
1047,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
1048,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
1049,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
1050,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
1051,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
1052,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
1053,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
1054,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
1055,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
1056,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
1057,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
1058,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
1059,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
1060,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
1061,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
1062,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
1063,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
1064,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
1065,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
1066,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
1067,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
1068,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
1069,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
1070,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
1071,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
1072,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
1073,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
1074,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
1075,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
1076,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
1077,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
1078,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
